SPIS	SPIS
RZECZY	RZECZY
NZS	null
OC	null
KŻ	null
NETS	null
ie	null
Str	null
null	Wstęp  Str
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
matki	matki
Wierszem	null
„ME	null
null	Wierszem  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
matki	matki
Prozą	null
null	Prozą  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
ojca	ojca
Wierszem	null
null	Wierszem  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
ojca	ojca
Prozą	null
ADA	null
null	Prozą  
Życzenia	Życzenia
dla	dla
babci	babci
Wierszem	null
„	null
«	null
«	null
«	null
sz	null
null	Wierszem  
Życzenia	Życzenia
dla	dla
babci	babci
Prozą	null
«	null
«	null
«	null
«	null
«	null
null	Prozą  
Życzenia	Życzenia
dla	dla
prababki	prababki
Wierszem	null
null	Wierszem  
Życzenia	Życzenia
dla	dla
prababki	prababki
Prozą	null
null	Prozą  
Powinszowania	Powinszowania
w	w
dniu	dniu
imienindziadka	null
Wierszem	null
«	null
null	imienin
null	dziadka
null	Wierszem  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
dziadka	dziadka
Prozą	null
null	Prozą  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
pradziadka	pradziadka
Wierszem	null
null	Wierszem  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
pradziadka	pradziadka
Prozą	null
w	null
null	Prozą  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
cioci	cioci
Wierszem	null
null	Wierszem  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
cioci	cioci
Prozą	null
null	Prozą  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
wujka	wujka
Wierszem	null
null	Wierszem  
Życzenia	Życzenia
w	w
dniu	dniu
imienin	imienin
wujka	wujka
Prozą	null
«	null
null	Prozą  
Życzenia	Życzenia
dla	dla
nauczycieli	nauczycieli
i	i
nauczycielek	null
zie	null
null	nauczycielek  
Życzenia	Życzenia
dla	dla
księdza	księdza
prefekta	prefekta
Wierszem	null
null	Wierszem  
Powinszowania	Powinszowania
księżom	księżom
prefektom	prefektom
Prozą	null
null	Prozą  
Życzenia	Życzenia
noworoczne	noworoczne
dla	dla
matki	matki
Wierszem	null
„	null
null	Wierszem  
Życzenia	Życzenia
noworoczne	noworoczne
dla	dla
ojca	ojca
Wierszem	null
null	Wierszem  
Życzenia	Życzenia
noworoczne	noworoczne
dla	dla
babki	babki
Wierszem	null
»	null
null	Wierszem  
Życzenia	Życzenia
noworoczne	noworoczne
dla	dla
dziadka	dziadka
Wierszem	null
„	null
null	Wierszem  
Powinszowania	Powinszowania
noworoczne	noworoczne
dla	dla
matki	matki
Prozą	null
»	null
null	Prozą  
Powinszowania	Powinszowania
noworoczne	noworoczne
dla	dla
ojca	ojca
Prozą	null
null	Prozą  
Życzenia	Życzenia
noworoczne	noworoczne
opiekunom	opiekunom
i	i
przełożonym	null
null	przełożonym  
